,Date,Signal,Open,High,Low,Close,Adj Close
376,2017-05-26,15.7522970484,137.380005,137.789993,136.779999,137.539993,131.249542
377,2017-05-30,15.8543254584,137.119995,137.440002,136.220001,136.460007,130.218994
378,2017-05-31,16.3922915448,136.839996,136.919998,134.639999,136.320007,130.085373
379,2017-06-01,16.2179588736,136.720001,139.0,136.270004,138.949997,132.595093
380,2017-06-02,16.0739946216,139.449997,141.020004,139.050003,139.850006,133.453918
381,2017-06-05,15.325798506,139.960007,140.110001,138.949997,138.979996,132.623718
382,2017-06-06,16.7024892288,138.110001,139.660004,137.809998,138.850006,132.499664
383,2017-06-07,16.3515732852,138.860001,139.529999,138.490005,138.979996,132.623718
384,2017-06-08,16.1093985624,138.979996,141.460007,138.740005,140.880005,134.436829
385,2017-06-09,16.0141751352,141.460007,142.899994,140.699997,141.610001,135.133408
386,2017-06-12,16.57628646,141.660004,141.990005,140.889999,141.380005,134.913971
387,2017-06-13,15.250735434,141.800003,142.309998,141.470001,142.100006,135.600998
388,2017-06-14,16.6576724868,142.029999,142.039993,140.449997,141.259995,134.799454
389,2017-06-15,16.6490923872,139.690002,140.979996,139.690002,140.539993,134.11235
390,2017-06-16,16.447728246,140.029999,140.220001,139.279999,140.190002,133.778381
391,2017-06-19,15.3881842176,140.559998,141.580002,140.509995,141.229996,134.770813
392,2017-06-20,16.2972112068,140.880005,140.970001,139.699997,139.800003,133.406189
393,2017-06-21,15.347556204,140.050003,140.800003,139.220001,139.449997,133.072235
394,2017-06-22,16.3335923568,139.369995,140.389999,139.009995,139.979996,133.577988
395,2017-06-23,16.5835471104,140.139999,141.080002,139.550003,140.910004,134.465439
396,2017-06-26,16.0005686148,141.089996,141.529999,140.199997,141.080002,134.627686
397,2017-06-27,15.33014373,141.100006,141.619995,139.75,139.839996,133.444382
398,2017-06-28,16.4348409576,140.669998,142.259995,140.399994,141.979996,135.486496
399,2017-06-29,16.538000112,142.240005,142.350006,139.649994,141.139999,134.684921
400,2017-06-30,16.482053202,141.25,141.669998,140.770004,140.919998,134.474945
401,2017-07-03,16.8035403744,141.339996,142.5,141.300003,142.100006,135.600998
402,2017-07-04,15.282747546,141.339996,142.6,141.400003,142.200006,135.700998
403,2017-07-05,15.282747546,141.699997,141.850006,140.699997,141.589996,135.11438
404,2017-07-06,15.8115619032,139.929993,140.470001,138.830002,139.139999,133.349945
405,2017-07-07,15.7707010008,139.429993,140.679993,139.179993,140.490005,134.643753
406,2017-07-10,15.458647722,139.919998,140.889999,139.369995,139.880005,134.059189
407,2017-07-11,16.9518546912,139.779999,140.380005,138.979996,140.289993,134.452057
408,2017-07-12,16.0110544272,141.050003,142.220001,141.009995,141.369995,135.487122
409,2017-07-13,16.7841222084,141.199997,141.559998,140.380005,141.490005,135.602173
410,2017-07-14,15.634553142,141.100006,142.300003,141.100006,141.729996,135.832169
411,2017-07-17,16.46891784,141.600006,142.460007,141.259995,142.059998,136.148422
412,2017-07-18,16.7220501768,141.539993,141.869995,141.039993,141.690002,135.793869
413,2017-07-19,16.2529933104,141.880005,143.139999,141.880005,143.100006,137.145203
414,2017-07-20,16.2353389128,143.119995,143.520004,142.800003,143.199997,137.240982
415,2017-07-21,15.980432616,143.009995,143.330002,142.25,142.550003,136.618057
416,2017-07-24,16.8611138844,142.309998,142.820007,141.970001,142.75,136.809708
417,2017-07-25,15.510001302,143.619995,144.25,143.210007,144.050003,138.055603
418,2017-07-26,16.4373061656,144.149994,144.149994,143.050003,143.25,137.28894
419,2017-07-27,16.30561152,143.479996,143.679993,141.550003,142.339996,136.416779
420,2017-07-28,16.2886245504,142.020004,142.360001,141.470001,141.960007,136.052643
421,2017-07-31,15.5654397276,142.220001,142.380005,140.970001,141.509995,135.621338
422,2017-08-01,16.6088009232,142.169998,142.199997,140.970001,141.779999,135.880096
423,2017-08-02,15.6669593844,141.589996,141.820007,139.729996,140.229996,134.394592
424,2017-08-03,15.295854696,140.440002,140.539993,139.160004,139.529999,133.723709
425,2017-08-04,16.759826496,139.910004,140.320007,139.490005,140.210007,134.375412
426,2017-08-07,16.2988046208,140.440002,140.35,139.710007,140.440002,134.595871
427,2017-08-08,15.69492732,140.410004,141.789993,139.690002,140.0,134.174164
428,2017-08-09,15.7736602584,139.119995,139.389999,138.279999,138.789993,133.014496
429,2017-08-10,15.80188476,138.279999,138.279999,136.259995,136.270004,130.599396
